,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
46,trouve,find
47,premier,first
48,perdu,lost
49,main,hand
50,première,first
51,côté,side
52,pouvoir,power
53,vieux,old
54,sois,be
55,tiens,here
56,matin,morning
57,tellement,so much
58,enfant,child
59,point,point
60,venu,came
61,suite,after
62,pardon,sorry
63,venez,come
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,demandé,request
68,chambre,bedroom
69,mis,placed
70,belle,beautiful
71,droit,law
72,aimerais,would like to
73,aujourd'hui,today
74,cause,cause
75,enfin,finally
76,espère,hope
77,eau,water
78,nouvelle,new
79,boulot,job
80,dirait,would say
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
86,chérie,sweetheart
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
